start training
[88/200][0/39]	Loss_D: 0.165817	Loss_g: 3.327301	D(x): 0.940125	D(G(z)): 0.088270 / 0.053838
[89/200][0/39]	Loss_D: 0.308230	Loss_g: 2.561265	D(x): 0.804911	D(G(z)): 0.049087 / 0.111427
[90/200][0/39]	Loss_D: 0.314788	Loss_g: 5.538765	D(x): 0.961295	D(G(z)): 0.210264 / 0.008018
[91/200][0/39]	Loss_D: 0.257539	Loss_g: 4.148151	D(x): 0.930140	D(G(z)): 0.143993 / 0.028034
[92/200][0/39]	Loss_D: 0.266652	Loss_g: 2.780269	D(x): 0.856257	D(G(z)): 0.073116 / 0.098944
[93/200][0/39]	Loss_D: 0.742964	Loss_g: 1.654597	D(x): 0.560953	D(G(z)): 0.005475 / 0.273418
[94/200][0/39]	Loss_D: 0.252203	Loss_g: 3.347054	D(x): 0.968140	D(G(z)): 0.177729 / 0.058819
[95/200][0/39]	Loss_D: 0.213019	Loss_g: 3.779617	D(x): 0.907416	D(G(z)): 0.091248 / 0.037677
[96/200][0/39]	Loss_D: 0.180220	Loss_g: 3.758372	D(x): 0.932571	D(G(z)): 0.095256 / 0.035306
[97/200][0/39]	Loss_D: 0.263756	Loss_g: 2.929804	D(x): 0.818827	D(G(z)): 0.038714 / 0.084471
[98/200][0/39]	Loss_D: 0.268685	Loss_g: 2.238644	D(x): 0.829786	D(G(z)): 0.046267 / 0.152307
[99/200][0/39]	Loss_D: 0.194519	Loss_g: 4.333734	D(x): 0.951996	D(G(z)): 0.123205 / 0.022129
[100/200][0/39]	Loss_D: 0.898982	Loss_g: 7.938662	D(x): 0.989086	D(G(z)): 0.516508 / 0.000724
[101/200][0/39]	Loss_D: 0.285228	Loss_g: 2.552956	D(x): 0.933794	D(G(z)): 0.169641 / 0.112591
[102/200][0/39]	Loss_D: 0.278599	Loss_g: 2.645671	D(x): 0.814302	D(G(z)): 0.046502 / 0.108381
[103/200][0/39]	Loss_D: 0.208679	Loss_g: 3.063126	D(x): 0.939008	D(G(z)): 0.121650 / 0.067330
[104/200][0/39]	Loss_D: 0.339722	Loss_g: 3.268855	D(x): 0.790396	D(G(z)): 0.060045 / 0.066801
[105/200][0/39]	Loss_D: 0.256881	Loss_g: 2.677062	D(x): 0.823697	D(G(z)): 0.039774 / 0.111175
[106/200][0/39]	Loss_D: 0.663621	Loss_g: 6.321980	D(x): 0.972995	D(G(z)): 0.410008 / 0.003566
[107/200][0/39]	Loss_D: 0.530478	Loss_g: 3.416688	D(x): 0.655549	D(G(z)): 0.016253 / 0.059879
[108/200][0/39]	Loss_D: 0.297078	Loss_g: 2.045499	D(x): 0.822352	D(G(z)): 0.059710 / 0.184751
[109/200][0/39]	Loss_D: 0.348131	Loss_g: 4.472219	D(x): 0.942693	D(G(z)): 0.223982 / 0.017785
[110/200][0/39]	Loss_D: 0.861162	Loss_g: 2.079878	D(x): 0.519918	D(G(z)): 0.013993 / 0.159859
[111/200][0/39]	Loss_D: 0.230838	Loss_g: 2.982939	D(x): 0.918355	D(G(z)): 0.124256 / 0.072713
[112/200][0/39]	Loss_D: 0.187503	Loss_g: 3.466229	D(x): 0.904925	D(G(z)): 0.077594 / 0.043455
[113/200][0/39]	Loss_D: 0.153166	Loss_g: 3.454614	D(x): 0.914263	D(G(z)): 0.055111 / 0.047540
